Date,Open,High,Low,Close,Adj Close,Volume
6/14/2018,478.38,523.54,467.47,519.74,519.74,2458650112
6/15/2018,520.48,521.30,487.47,491.00,491.00,1808269952
6/16/2018,490.41,503.22,488.85,499.64,499.64,1314109952
6/17/2018,499.46,507.64,498.65,500.45,500.45,1264870016
6/18/2018,499.38,521.80,494.07,518.89,518.89,1513869952
6/19/2018,519.02,542.35,516.31,537.96,537.96,1726569984
6/20/2018,538.51,541.02,519.37,536.27,536.27,1596290048
6/21/2018,536.45,543.72,524.26,527.37,527.37,1462070016
6/22/2018,527.19,527.19,456.88,465.82,465.82,2226030080
6/23/2018,466.27,479.13,462.39,474.52,474.52,1651379968
6/24/2018,474.77,475.36,426.47,457.67,457.67,2490579968
6/25/2018,455.94,470.34,448.90,460.31,460.31,4007950080
6/26/2018,460.73,461.21,432.77,432.77,432.77,1356560000
6/27/2018,432.24,444.24,424.84,442.36,442.36,1368940032
6/28/2018,442.29,443.62,419.68,422.36,422.36,1360790016
6/29/2018,422.59,441.79,407.95,436.01,436.01,1564499968
6/30/2018,436.21,458.80,436.21,455.18,455.18,1475939968
7/1/2018,455.24,457.14,446.39,453.92,453.92,1511730048
7/2/2018,453.82,479.13,447.11,475.35,475.35,1625789952
7/3/2018,475.39,483.85,462.58,464.20,464.20,1683939968
7/4/2018,464.15,481.44,455.18,467.32,467.32,1549769984
7/5/2018,467.29,483.23,464.63,474.41,474.41,1828610048
7/6/2018,474.36,479.65,457.61,474.01,474.01,1627609984
7/7/2018,474.06,491.66,466.84,491.66,491.66,1358360064
7/8/2018,492.07,503.20,488.42,489.12,489.12,1344560000
7/9/2018,488.88,490.85,475.17,476.68,476.68,1533799936
7/10/2018,476.16,478.32,433.96,434.42,434.42,1789069952
7/11/2018,434.52,447.32,429.51,446.52,446.52,1422470016
7/12/2018,446.50,446.50,422.81,430.07,430.07,1495440000
7/13/2018,430.74,442.36,430.74,434.03,434.03,1489670016
7/14/2018,434.51,439.43,431.47,436.09,436.09,1235820032
7/15/2018,435.88,454.00,433.92,449.85,449.85,1350160000
7/16/2018,450.42,480.66,446.80,480.66,480.66,1858680064
7/17/2018,480.08,508.78,468.92,501.00,501.00,2288100096
7/18/2018,500.84,513.43,474.36,480.51,480.51,2371559936
7/19/2018,480.63,483.24,465.14,469.62,469.62,2068739968
7/20/2018,469.31,469.31,443.69,450.70,450.70,1821350016
7/21/2018,450.68,468.08,445.78,462.44,462.44,1504310016
7/22/2018,462.44,470.90,458.12,459.66,459.66,1338589952
7/23/2018,459.44,469.77,449.73,450.85,450.85,1596999936
7/24/2018,451.14,481.14,450.57,479.37,479.37,2287520000
7/25/2018,479.91,482.87,466.47,472.49,472.49,1930780032
7/26/2018,472.33,483.70,461.42,464.04,464.04,1621560064
7/27/2018,464.01,473.22,458.29,469.67,469.67,1734259968
7/28/2018,469.68,471.59,462.99,466.90,466.90,1531890048
7/29/2018,466.92,470.36,462.71,466.67,466.67,1631910016
7/30/2018,466.83,467.95,448.64,457.08,457.08,2141590000
7/31/2018,457.24,457.24,430.44,433.87,433.87,1820680000
8/1/2018,433.87,435.46,410.46,420.75,420.75,1888060000
8/2/2018,420.81,425.03,410.31,412.62,412.62,1569300000
8/3/2018,412.57,420.55,399.91,418.26,418.26,1722340000
8/4/2018,418.24,420.19,403.78,407.25,407.25,1466540000
